country,score
United States,74.9
China,73.5
Japan,70.6
United Kingdom,69.2
Germany,67.7
France,65.8
Switzerland,63.2
Canada,63.2
Italy,61.6
United Arab Emirates,59.4
South Korea,59.2
Spain,58.9
Sweden,58.8
Russia,58.7
Netherlands,57.8
Australia,57.5
Saudi Arabia,55.9
Denmark,55.6
Norway,55.4
Qatar,54.9
Singapore,54.5
Belgium,54.5
Finland,53.5
Austria,53.3
Türkiye,52.4
New Zealand,51.6
Portugal,50.4
Ireland,49.6
Brazil,49.2
Luxembourg,49.1
Poland,48.9
India,48
Greece,46.7
Iceland,45.9
Malaysia,45.8
Monaco,45.5
Argentina,45.2
Thailand,45
Israel,-
Egypt,44.8
Kuwait,44.8
Mexico,44.3
South Africa,44.2
Czechia,43.6
Indonesia,42
Croatia,41.6
Ukraine,41.4
Hungary,41.3
Bahrain,40.8
Morocco,40.6
Oman,40.5
Vietnam,40.4
Romania,40.3
Philippines,40
Slovakia,39.7
Chile,39.4
Slovenia,39.4
Iran,39.3
Maldives,39.2
Cyprus,39
Georgia,39
Jordan,38.9
North Korea,38.9
Uruguay,38.7
Panama,38.6
Colombia,38.3
Estonia,38.1
Bulgaria,38
Malta,37.4
Latvia,37.4
Nigeria,37.4
Serbia,37.3
Costa Rica,37.1
Algeria,36.8
Tunisia,36.7
El Salvador,36.6
Peru,36.6
Paraguay,36.4
Lithuania,36.4
Dominican Republic,36.3
Belarus,36
Kazakhstan,35.9
Cuba,35.8
Pakistan,35.7
Azerbaijan,35.4
Bahamas,35.4
Jamaica,35.1
Kenya,35
Lebanon,35
Armenia,34.9
Liechtenstein,34.6
Uzbekistan,34.5
Ecuador,34.4
Tanzania,34.3
Ghana,34.1
Mauritius,34.1
Venezuela,34
Iraq,33.9
Nepal,33.8
Sri Lanka,33.8
Bangladesh,33.7
Albania,33.7
Bolivia,33.6
Ivory Coast,33.3
Mongolia,33.2
Senegal,33.1
Madagascar,33
Cameroon,32.9
Bosnia and Herzegovina,32.9
Ethiopia,32.8
Montenegro,32.6
Central African Republic,32.4
Democratic Republic of Congo,32.3
Zambia,32.1
Cambodia,32.1
Angola,32
Zimbabwe,31.9
Uganda,31.9
Bhutan,31.8
Brunei Darussalam,31.8
Yemen,31.7
Rwanda,31.7
Mali,31.6
Namibia,31.5
Syria,31.2
Guatemala,31.1
Libya,31.1
Moldova,31
Tajikistan,31
North Macedonia,30.9
Honduras,30.8
San Marino,30.8
Fiji,30.7
Liberia,30.4
Andorra,30.4
Dominica,30.3
Sudan,30.2
Turkmenistan,30.2
Congo,30.1
Mozambique,29.9
Niger,29.9
Kyrgyzstan,29.8
Burkina Faso,29.7
Guinea,29.7
Barbados,29.7
South Sudan,28.8
Botswana,28.8
Laos,28.8
Equatorial Guinea,28.8
Seychelles,28.7
Afghanistan,28.3
Gambia,28.3
Nicaragua,27.8
Myanmar,27.8
Malawi,27.7
Papua New Guinea,27.7
Cape Verde,27.6
Mauritania,27.3
Eswatini,27.2
Guyana,27.1
Trinidad & Tobago,27
Benin,26.7
Burundi,26.7
Togo,26.7
Chad,26.3
Solomon Islands,26.2
Guinea-Bissau,26.1
Belize,26.1
Gabon,25.9
Haiti,25.9
Grenada,25.6
Sierra Leone,25.3
Comoros,25.2
Samoa,25.1
Sao Tome and Principe,25
Antigua & Barbuda,24.8
Somalia,24.6
Saint Lucia,24.5
Eritrea,24.1
Djibouti,24.1
Marshall Islands,24
Suriname,23.8
Timor-Leste,23.6
Palau,23.6
Lesotho,23.4
Saint Vincent and the Grenadines,22.9
Tonga,22.7
Micronesia,22.3
Saint Kitts & Nevis,21.5
Tuvalu,21.5
Vanuatu,21.4
Nauru,20.7
Kiribati,19.7
